Product names, ,,price, ratings
Apple iPhone 6s (Rose Gold, 32 GB),₹29,799,4.5
Apple iPhone X (Space Gray, 64 GB),₹69,999,4.6
Apple iPhone XR (Black, 128 GB),₹64,900,4.6
Apple iPhone X (Silver, 64 GB),₹69,999,4.6
Apple iPhone 6s (Gold, 32 GB),₹29,799,4.5
Apple iPhone 6s (Space Grey, 32 GB),₹29,799,4.5
Apple iPhone XR (Black, 64 GB),₹59,900,4.6
Apple iPhone XR (White, 64 GB),₹59,900,4.6
Apple iPhone 6s (Silver, 32 GB),₹29,799,4.5
Apple iPhone 6s Plus (Rose Gold, 32 GB),₹34,900,4.5
Apple iPhone 6s Plus (Silver, 32 GB),₹34,900,4.4
Apple iPhone XR (Blue, 64 GB),₹59,900,4.6
Apple iPhone XR (Coral, 64 GB),₹59,900,4.6
Apple iPhone 8 (Gold, 64 GB),₹58,999,4.6
Apple iPhone XR ((PRODUCT)RED, 64 GB),₹59,900,4.6
Apple iPhone 7 Plus (Jet Black, 32 GB),₹49,799,4.5
Apple iPhone XR (Coral, 128 GB),₹64,900,4.6
Apple iPhone XR ((PRODUCT)RED, 128 GB),₹66,229,4.6
Apple iPhone 8 Plus (Gold, 256 GB),₹79,999,4.6
Apple iPhone 7 (Silver, 32 GB),₹38,999,4.5
Apple iPhone 6s Plus (Silver, 16 GB),₹39,990,4.3
Apple iPhone XR (White, 128 GB),₹66,229,4.6
Apple iPhone XR (Blue, 128 GB),₹66,229,4.6
Apple iPhone 8 Plus (Space Grey, 64 GB),₹65,990,4.6
